number	type	edftype	latency	urevent
1.000000	condition 128	128.000000	18276.000000	1.000000
2.000000	condition 2	2.000000	19388.000000	2.000000
3.000000	condition 2	2.000000	20423.000000	3.000000
4.000000	condition 128	128.000000	32157.000000	4.000000
5.000000	condition 128	128.000000	46030.000000	5.000000
6.000000	condition 2	2.000000	46874.000000	6.000000
7.000000	condition 4	4.000000	47523.000000	7.000000
8.000000	condition 128	128.000000	72925.000000	8.000000
9.000000	condition 2	2.000000	73667.000000	9.000000
10.000000	condition 2	2.000000	74231.000000	10.000000
11.000000	condition 128	128.000000	92718.000000	11.000000
12.000000	condition 2	2.000000	94026.000000	12.000000
13.000000	condition 2	2.000000	94591.000000	13.000000
14.000000	condition 128	128.000000	108212.000000	14.000000
15.000000	condition 2	2.000000	109533.000000	15.000000
16.000000	condition 4	4.000000	110111.000000	16.000000
17.000000	condition 128	128.000000	130867.000000	17.000000
18.000000	condition 4	4.000000	131606.000000	18.000000
19.000000	condition 2	2.000000	132901.000000	19.000000
20.000000	condition 128	128.000000	156302.000000	20.000000
21.000000	condition 2	2.000000	157154.000000	21.000000
22.000000	condition 4	4.000000	157844.000000	22.000000
23.000000	condition 128	128.000000	176354.000000	23.000000
24.000000	condition 2	2.000000	177183.000000	24.000000
25.000000	condition 2	2.000000	177822.000000	25.000000
26.000000	condition 128	128.000000	191437.000000	26.000000
27.000000	condition 4	4.000000	192496.000000	27.000000
28.000000	condition 2	2.000000	193130.000000	28.000000
29.000000	condition 128	128.000000	233639.000000	29.000000
30.000000	condition 4	4.000000	234324.000000	30.000000
31.000000	condition 4	4.000000	234937.000000	31.000000
32.000000	condition 128	128.000000	248376.000000	32.000000
33.000000	condition 2	2.000000	249219.000000	33.000000
34.000000	condition 2	2.000000	249818.000000	34.000000
35.000000	condition 128	128.000000	255774.000000	35.000000
36.000000	condition 2	2.000000	256494.000000	36.000000
37.000000	condition 4	4.000000	257061.000000	37.000000
38.000000	condition 128	128.000000	286303.000000	38.000000
39.000000	condition 4	4.000000	287010.000000	39.000000
40.000000	condition 2	2.000000	287602.000000	40.000000
41.000000	condition 128	128.000000	320685.000000	41.000000
42.000000	condition 4	4.000000	321414.000000	42.000000
43.000000	condition 128	128.000000	340580.000000	43.000000
44.000000	condition 4	4.000000	341370.000000	44.000000
45.000000	condition 2	2.000000	342651.000000	45.000000
46.000000	condition 128	128.000000	383287.000000	46.000000
47.000000	condition 2	2.000000	384167.000000	47.000000
48.000000	condition 2	2.000000	384811.000000	48.000000
49.000000	condition 128	128.000000	406477.000000	49.000000
50.000000	condition 2	2.000000	407298.000000	50.000000
51.000000	condition 4	4.000000	407957.000000	51.000000
52.000000	condition 2	2.000000	409018.000000	52.000000
53.000000	condition 128	128.000000	444349.000000	53.000000
54.000000	condition 2	2.000000	445108.000000	54.000000
55.000000	condition 4	4.000000	445684.000000	55.000000
56.000000	condition 2	2.000000	446970.000000	56.000000
57.000000	condition 128	128.000000	482044.000000	57.000000
58.000000	condition 2	2.000000	482762.000000	58.000000
59.000000	condition 2	2.000000	483422.000000	59.000000
60.000000	condition 128	128.000000	521537.000000	60.000000
61.000000	condition 2	2.000000	522366.000000	61.000000
62.000000	condition 2	2.000000	523010.000000	62.000000
63.000000	condition 128	128.000000	535416.000000	63.000000
64.000000	condition 4	4.000000	536092.000000	64.000000
65.000000	condition 2	2.000000	536692.000000	65.000000
66.000000	condition 128	128.000000	573610.000000	66.000000
67.000000	condition 4	4.000000	574342.000000	67.000000
68.000000	condition 2	2.000000	574917.000000	68.000000
69.000000	condition 128	128.000000	588193.000000	69.000000
70.000000	condition 4	4.000000	588974.000000	70.000000
71.000000	condition 2	2.000000	589525.000000	71.000000
72.000000	condition 128	128.000000	611319.000000	72.000000
73.000000	condition 2	2.000000	612111.000000	73.000000
74.000000	condition 4	4.000000	612704.000000	74.000000
75.000000	condition 2	2.000000	613417.000000	75.000000
76.000000	condition 128	128.000000	634154.000000	76.000000
77.000000	condition 2	2.000000	635030.000000	77.000000
78.000000	condition 2	2.000000	635593.000000	78.000000
79.000000	condition 2	2.000000	636194.000000	79.000000
80.000000	condition 128	128.000000	662820.000000	80.000000
81.000000	condition 2	2.000000	663675.000000	81.000000
82.000000	condition 4	4.000000	664356.000000	82.000000
83.000000	condition 2	2.000000	665004.000000	83.000000
84.000000	condition 128	128.000000	677293.000000	84.000000
85.000000	condition 2	2.000000	678267.000000	85.000000
86.000000	condition 2	2.000000	678927.000000	86.000000
87.000000	condition 2	2.000000	679620.000000	87.000000
