number	latency	duration	channel	bvtime	bvmknum	visible	type	code	urevent
1.000000	1.000000	0.512000	0.000000		1.000000		S 44	Stimulus	1.000000
2.000000	190.952000	0.512000	0.000000		2.000000		Sync Off	SyncStatus	2.000000
3.000000	702.952000	0.512000	0.000000		3.000000		Sync Off	SyncStatus	3.000000
4.000000	1214.952000	0.512000	0.000000		4.000000		Sync Off	SyncStatus	4.000000
5.000000	1726.952000	0.512000	0.000000		5.000000		Sync Off	SyncStatus	5.000000
6.000000	2238.952000	0.512000	0.000000		6.000000		Sync Off	SyncStatus	6.000000
7.000000	2750.952000	0.512000	0.000000		7.000000		Sync Off	SyncStatus	7.000000
8.000000	3262.952000	0.512000	0.000000		8.000000		Sync Off	SyncStatus	8.000000
9.000000	3774.952000	0.512000	0.000000		9.000000		Sync Off	SyncStatus	9.000000
10.000000	4286.952000	0.512000	0.000000		10.000000		Sync Off	SyncStatus	10.000000
11.000000	4798.952000	0.512000	0.000000		11.000000		Sync Off	SyncStatus	11.000000
12.000000	5310.952000	0.512000	0.000000		12.000000		Sync Off	SyncStatus	12.000000
13.000000	5822.952000	0.512000	0.000000		13.000000		Sync Off	SyncStatus	13.000000
14.000000	6334.952000	0.512000	0.000000		14.000000		Sync Off	SyncStatus	14.000000
15.000000	6846.952000	0.512000	0.000000		15.000000		Sync Off	SyncStatus	15.000000
16.000000	7358.952000	0.512000	0.000000		16.000000		Sync Off	SyncStatus	16.000000
17.000000	7870.952000	0.512000	0.000000		17.000000		Sync Off	SyncStatus	17.000000
18.000000	8382.952000	0.512000	0.000000		18.000000		Sync Off	SyncStatus	18.000000
19.000000	8894.952000	0.512000	0.000000		19.000000		Sync Off	SyncStatus	19.000000
20.000000	9406.952000	0.512000	0.000000		20.000000		Sync Off	SyncStatus	20.000000
21.000000	9918.952000	0.512000	0.000000		21.000000		Sync Off	SyncStatus	21.000000
22.000000	10430.952000	0.512000	0.000000		22.000000		Sync Off	SyncStatus	22.000000
23.000000	10942.952000	0.512000	0.000000		23.000000		Sync Off	SyncStatus	23.000000
24.000000	11454.952000	0.512000	0.000000		24.000000		Sync Off	SyncStatus	24.000000
25.000000	11966.952000	0.512000	0.000000		25.000000		Sync Off	SyncStatus	25.000000
26.000000	12478.952000	0.512000	0.000000		26.000000		Sync Off	SyncStatus	26.000000
27.000000	12990.952000	0.512000	0.000000		27.000000		Sync Off	SyncStatus	27.000000
28.000000	13502.952000	0.512000	0.000000		28.000000		Sync Off	SyncStatus	28.000000
29.000000	14014.952000	0.512000	0.000000		29.000000		Sync Off	SyncStatus	29.000000
30.000000	14526.952000	0.512000	0.000000		30.000000		Sync Off	SyncStatus	30.000000
31.000000	15038.952000	0.512000	0.000000		31.000000		Sync Off	SyncStatus	31.000000
32.000000	15550.952000	0.512000	0.000000		32.000000		Sync Off	SyncStatus	32.000000
33.000000	16062.952000	0.512000	0.000000		33.000000		Sync Off	SyncStatus	33.000000
34.000000	16574.952000	0.512000	0.000000		34.000000		Sync Off	SyncStatus	34.000000
35.000000	17086.952000	0.512000	0.000000		35.000000		Sync Off	SyncStatus	35.000000
36.000000	17598.952000	0.512000	0.000000		36.000000		Sync Off	SyncStatus	36.000000
37.000000	18110.952000	0.512000	0.000000		37.000000		Sync Off	SyncStatus	37.000000
38.000000	18622.952000	0.512000	0.000000		38.000000		Sync Off	SyncStatus	38.000000
39.000000	19134.952000	0.512000	0.000000		39.000000		Sync Off	SyncStatus	39.000000
40.000000	19646.952000	0.512000	0.000000		40.000000		Sync Off	SyncStatus	40.000000
